epoch,accuracy,loss,val_accuracy,val_loss
0,0.7279999852180481,0.8221689462661743,0.8174999952316284,0.38215938210487366
1,0.8420000076293945,0.3879949152469635,0.893750011920929,0.28794169425964355
2,0.8700000047683716,0.3207640051841736,0.8974999785423279,0.2894240617752075
3,0.8899999856948853,0.28326523303985596,0.9024999737739563,0.27764415740966797
4,0.9160000085830688,0.21903233230113983,0.9075000286102295,0.289284884929657
5,0.9240000247955322,0.177827388048172,0.9037500023841858,0.3184982240200043
6,0.9459999799728394,0.16123835742473602,0.9037500023841858,0.29635822772979736
7,0.9610000252723694,0.11012886464595795,0.9012500047683716,0.3541775941848755
8,0.949999988079071,0.12564529478549957,0.8912500143051147,0.37761181592941284
9,0.972000002861023,0.09338432550430298,0.9012500047683716,0.35025227069854736
